"Certaines données sont associées à l'ancienne version du formulaire incendie. Consultez la documentation pour plus d'informations."
"Nombre d'incendies suivant les critères de sélection : 4393"
"Critères de sélection =>";"Date de première alerte, de : 2022-01-01 00:00:00";"Date de première alerte, jusqu'à : 2022-12-31 23:59:00";"France entière";"Type de feu : F"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Origine de l'alerte";"Moyens de première intervention";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Surface de feu à l'arrivée des secours > 0,1 ha";"Voie carrossable la plus proche";"Activité ou habitation la plus proche";"Type de peuplement";"Connaissance de la cause";"Source de l'enquête";Nature;"Intervention de l'équipe RCCI";"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Hygrométrie (%)";"Vitesse moyenne du vent (Km/h)";"Direction du vent";"Température (°C)";Commentaire;"Précision de la donnée";"Présence d'un contour valide"
2022;13845;"06";"06050";"Coursegoules";"2022-01-01 08:20:00";"Population";"3";5000;;5000;;;;;;;;;"Non";"2";"3";"1";"Probable";"Sapeur-pompier";"Malveillance";;;;;;;;;;;"";"Non"
2022;16667;"04";"04210";"Soleilhas";"2022-01-02 17:39:00";"Population";"1";1500;1500;;;;;;;;;;;;;;"Certaine";"Service de police et de gendarmerie";"Involontaire (travaux)";;;;;;;;;;;"";"Non"
2022;13568;"06";"06074";"Lantosque";"2022-01-04 17:10:00";"Population";"3";5000;1000;4000;;;;;;;;;"Oui";"2";"3";"1";"Probable";"Service de police et de gendarmerie";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
2022;14942;"84";"84012";"Beaumes-de-Venise";"2022-01-05 09:38:00";"Population";"3";5;5;;;;;;;;;;;;;"4";"Probable";"Coordinateur";"Involontaire (travaux)";"Non";;;;;;;;;;"";"Non"
2022;14358;"66";"66048";"Cerbère";"2022-01-05 10:17:00";"Population";"3";764;;764;;;;;;;;;"Non";"3";"3";"1";"Certaine";"Sapeur-pompier";"Accidentelle";"Oui";;;;;60;100;"N";9;;"";"Non"
2022;13606;"2B";"2B354";"Vivario";"2022-01-05 11:10:00";"Indéterminé";;10000;10000;;;;;;;;;;;"3";"3";"5";"Probable";"Coordinateur";"Malveillance";"Non";;;;;;;;;;"";"Non"
2022;17000;"34";"34268";"Saint-Jean-de-la-Blaquière";"2022-01-06 16:24:00";"Population";"3";784;0;784;;;;;;;;;"Non";"4";"3";"1";"Probable";"Coordinateur";"Malveillance";"Non";;;;;;;;;;"";"Non"
2022;14946;"84";"84052";"Grambois";"2022-01-06 17:52:00";"Population";"3";15;;;;;;;;;15;;;;"2";;"Probable";"Coordinateur";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
2022;13791;"2A";"2A004";"Ajaccio";"2022-01-07 15:41:00";"Indéterminé";"3";10;;10;;;;;;;;;;;;;"Certaine";"Sapeur-pompier";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
2022;15943;"11";"11401";"Tuchan";"2022-01-07 18:46:00";"Indéterminé";;7900;;;;;;;;;;;;;;;"Certaine";"Gestionnaire";"Accidentelle";"Oui";;;;;;;;;;"";"Non"
2022;13792;"2A";"2A017";"Appietto";"2022-01-10 14:12:00";"Indéterminé";"3";100;;100;;;;;;;;;;"1";"3";"1";"Probable";"Sapeur-pompier";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
2022;13579;"06";"06163";"Tende";"2022-01-10 15:15:00";"Population";"3";600;;;;;;;;;;;"Non";"3";"3";"1";"Certaine";"Service de police et de gendarmerie";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
2022;13611;"2B";"2B210";"Pero-Casevecchie";"2022-01-12 09:49:00";"Indéterminé";;70000;25000;45000;;;;;;;;;;"1";"3";"5";"Probable";"Coordinateur";"Malveillance";"Non";;;;;;;;;;"";"Non"
2022;15681;"13";"13071";"Les Pennes-Mirabeau";"2022-01-12 14:35:00";"Population";"3";600;600;;;;;;;;;;"Non";"2";"2";"1";"Certaine";"Coordinateur";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
2022;13793;"2A";"2A017";"Appietto";"2022-01-12 14:40:00";"Indéterminé";"3";10;;10;;;;;;;;;;"4";"3";"1";"Inconnue";;;"Non";;;;;;;;;;"";"Non"
2022;15792;"13";"13060";"Meyreuil";"2022-01-12 14:57:00";"Population";"3";400;400;;;;;;;;;;"Non";"2";"2";"1";"Certaine";"Coordinateur";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
2022;13802;"2A";"2A041";"Bonifacio";"2022-01-13 13:15:00";"Indéterminé";"3";100;;100;;;;;;;;;;;;;"Inconnue";;;"Non";;;;;;;;;;"";"Non"
2022;13803;"2A";"2A215";"Pianottoli-Caldarello";"2022-01-13 14:27:00";"Indéterminé";"3";30;;30;;;;;;;;;;;;;"Inconnue";;;"Non";;;;;;;;;;"";"Non"
2022;20450;"06";"06050";"Coursegoules";"2022-01-13 14:51:00";"Population";"3";500;;;;;;;;;;;"Non";"1";"3";;"Inconnue";;;;;;;;;;;;;"";"Non"
2022;19547;"13";"13053";"Mallemort";"2022-01-13 15:29:00";"Population";"3";20;20;;;;;;;;;;"Non";"2";"2";"1";"Certaine";"Coordinateur";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
2022;13617;"2B";"2B225";"Pietra-di-Verde";"2022-01-13 16:26:00";"Indéterminé";;6000;6000;;;;;;;;;;;"3";"3";"3";"Probable";"Coordinateur";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
